Rok,Jednotlive strany,Pocet hlasu lidi,Pocet hlasu v %
2002,Křesťanská a demokratická unie - Československá strana lidová,145 680,7.43
2002,Strana zelených,71 830,3.66
2002,Česká strana sociálně demokratická,403 889,20.59
2002,Občanská demokratická aliance,26 005,1.33
2002,Strana za životní jistoty,8 820,0.45
2002,Komunistická strana Čech a Moravy,260 123,13.26
2002,Občanská demokratická strana,743 089,37.89
2002,Pravá volba pro Plzeň,183 245,9.34
2002,"Koalice US-DEU, SNK",118 713,6.05
2006,Plzeňská aliance,168 750,7.58
2006,Komunistická str.Čech a Moravy,277 883,12.48
2006,Občanská demokratická strana,1 007 049,45.230000000000004
2006,Koruna Česká (monarch.strana),2 263,0.1
2006,Pravá volba pro Plzeň,177 562,7.98
2006,Křesť.demokr.unie-Čs.str.lid.,141 259,6.3500000000000005
2006,Česká str.sociálně demokrat.,451 520,20.28
2010,Občanská demokratická strana,565 614,24.78
2010,Pravá volba pro Plzeň,115 104,5.04
2010,Plzeňská aliance,102 860,4.51
2010,Volte Pr.Blok www.cibulka.net,1 472,0.06
2010,OBČANÉ.CZ,206 734,9.06
2010,Dělnic.str.sociální spravedl.,4 321,0.19
2010,Česká str.sociálně demokrat.,543 564,23.81
2010,Česká pirátská strana,18 733,0.8200000000000001
2010,Suverenita-blok J.Bobošíkové,47 184,2.07
2010,Křesť.demokr.unie-Čs.str.lid.,98 644,4.32
2010,Strana Práv Občanů ZEMANOVCI,14 336,0.63
2010,Věci veřejné,60 762,2.66
2010,Balbínova poetická strana,907,0.04
2010,TOP 09,280 985,12.31
2010,Komunistická str.Čech a Moravy,221 476,9.700000000000001
2014,VEŘEJNÉ ZÁJMY PLZNĚ,53 661,2.91
2014,Pravá volba pro Plzeň (PVP),50 469,2.74
2014,Strana svobodných občanů,41 131,2.23
2014,Změna pro Plzeň,45 763,2.48
2014,Společně za Plzeň,88 100,4.78
2014,TOP 09,166 696,9.05
2014,Volební strana REPUBLIKA,2 025,0.11
2014,Sdružení DSZ a NK,844,0.05
2014,Plzeň pro sport,32 906,1.79
2014,Komunistická str.Čech a Moravy,152 903,8.3
2014,ANO 2011,329 815,17.900000000000002
2014,Strana Práv Občanů,2 358,0.13
2014,Česká str.sociálně demokrat.,303 042,16.45
2014,Občané patrioti,134 761,7.3100000000000005
2014,DSSS-Za Plz. bez hazar. a nepř,10 215,0.55
2014,Občanská demokratická strana,323 390,17.55
2014,Křesť.demokr.unie-Čs.str.lid.,104 535,5.67
2018,Koruna Česká (monarch.strana),13 486,0.61
2018,Česká pirátská strana,257 260,11.69
2018,KDU-ČSL- PRAVÁ VOLBA PRO PLZEŇ,144 203,6.5600000000000005
2018,PRO PLZEŇ,105 272,4.79
2018,TOP 09,150 150,6.83
2018,Svob.a př.dem.-T.Okamura (SPD),108 882,4.95
2018,Občanská demokratická strana,486 401,22.11
2018,NOVÁ PLZEŇ s Jiřím Strobachem,60 597,2.75
2018,ANO 2011,488 324,22.2
2018,PATRIOTI STAROST. S PODP. SVOB,80 381,3.65
2018,Komunistická str.Čech a Moravy,124 055,5.64
2018,Česká Plzeň - Naše Šance,10 589,0.48
2018,Česká str.sociálně demokrat.,141 073,6.41
2018,Demokrat. strana zelených a NK,1 328,0.06
2018,Strana soukromníků ČR,8 549,0.39
2018,VEŘEJNÉ ZÁJMY PLZNĚ,19 337,0.88
